p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
11,11,30,11.30.a.a,-9,1,10,8,-1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.a,-4,3,7,8,-1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,30,11.30.a.a,-7,2,9,8,-1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,30,11.30.a.a,-10,2,12,8,-1,2:[1:7];3:[1:6];5:[1:1];7:[1:9],1,1
11,11,30,11.30.a.a,-10,2,12,8,-1,2:[1:10];3:[1:4];5:[1:2];7:[1:6],1,1
11,11,14,11.14.a.a,-2,1,3,8,-1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,14,11.14.a.a,-3,3,6,8,-1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,14,11.14.a.a,-5,0,5,8,-1,2:[1:4];3:[1:3];5:[1:6];7:[1:3],1,1
11,11,14,11.14.a.a,-5,1,6,8,-1,2:[1:5];3:[1:10];5:[1:3];7:[1:10],1,1
11,11,14,11.14.a.a,-1,1,2,8,-1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,14,11.14.a.b,-2,1,3,5,1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,14,11.14.a.b,-3,1,4,5,1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,14,11.14.a.b,-5,0,5,5,1,2:[1:4];3:[1:3];5:[1:6];7:[1:3],1,1
11,11,14,11.14.a.b,-5,1,6,5,1,2:[1:5];3:[1:10];5:[1:3];7:[1:10],1,1
11,11,14,11.14.a.b,0,2,2,5,1,2:[1:6];3:[1:10];5:[1:3];7:[1:1],1,1
11,11,14,11.14.a.b,0,0,0,5,1,2:[1:7];3:[1:3];5:[1:6];7:[1:8],1,1
11,11,14,11.14.a.b,-1,1,2,5,1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,16,11.16.a.a,-2,1,3,-7,1,2:[1:0];3:[1:9];5:[1:9];7:[1:0],1,1
11,11,16,11.16.a.a,-4,1,5,-7,1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,16,11.16.a.a,-1,1,2,-7,1,2:[1:7];3:[1:4];5:[1:8];7:[1:10],1,1
11,11,16,11.16.a.a,-5,1,6,-7,1,2:[1:8];3:[1:9];5:[1:8];7:[1:10],1,1
11,11,16,11.16.a.a,-5,1,6,-7,1,2:[1:10];3:[1:8];5:[1:4];7:[1:4],1,1
11,11,16,11.16.a.b,-2,1,3,-3,-1,2:[1:0];3:[1:9];5:[1:9];7:[1:0],1,1
11,11,16,11.16.a.b,2,3,1,-3,-1,2:[1:1];3:[1:8];5:[1:4];7:[1:7],1,1
11,11,16,11.16.a.b,1,1,0,-3,-1,2:[1:3];3:[1:9];5:[1:8];7:[1:1],1,1
11,11,16,11.16.a.b,-4,1,5,-3,-1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,16,11.16.a.b,-1,1,2,-3,-1,2:[1:7];3:[1:4];5:[1:8];7:[1:10],1,1
11,11,16,11.16.a.b,-5,1,6,-3,-1,2:[1:8];3:[1:9];5:[1:8];7:[1:10],1,1
11,11,16,11.16.a.b,-5,1,6,-3,-1,2:[1:10];3:[1:8];5:[1:4];7:[1:4],1,1
11,11,30,11.30.a.b,-2,1,3,5,1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,30,11.30.a.b,-8,1,9,5,1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,30,11.30.a.b,-5,1,6,5,1,2:[1:1];3:[1:4];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.b,-5,2,7,5,1,2:[1:4];3:[1:6];5:[1:1];7:[1:2],1,1
11,11,30,11.30.a.b,-1,1,2,5,1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.b,-11,1,12,5,1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.b,-9,1,10,5,1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.b,-4,1,5,5,1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,30,11.30.a.b,-7,0,7,5,1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,30,11.30.a.b,-1,1,2,5,1,2:[1:7];3:[1:6];5:[1:1];7:[1:9],1,1
11,11,30,11.30.a.b,-10,4,14,5,1,2:[1:7];3:[1:6];5:[1:1];7:[1:9],1,1
11,11,30,11.30.a.b,-10,0,10,5,1,2:[1:10];3:[1:4];5:[1:2];7:[1:6],1,1
11,11,30,11.30.a.b,-1,-1,0,5,1,2:[1:10];3:[1:4];5:[1:2];7:[1:6],1,1
11,11,18,11.18.a.a,-3,1,4,8,-1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,18,11.18.a.a,-1,1,2,8,-1,2:[1:3];3:[1:1];5:[1:7];7:[1:4],1,1
11,11,18,11.18.a.a,-5,0,5,8,-1,2:[1:5];3:[1:5];5:[1:7];7:[1:4],1,1
11,11,18,11.18.a.a,-6,2,8,8,-1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,18,11.18.a.a,-4,2,6,8,-1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,18,11.18.a.a,-5,1,6,8,-1,2:[1:9];3:[1:2];5:[1:9];7:[1:6],1,1
11,11,18,11.18.a.b,-3,1,4,5,1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,18,11.18.a.b,0,2,2,5,1,2:[1:2];3:[1:2];5:[1:9];7:[1:5],1,1
11,11,18,11.18.a.b,-1,1,2,5,1,2:[1:3];3:[1:1];5:[1:7];7:[1:4],1,1
11,11,18,11.18.a.b,-5,0,5,5,1,2:[1:5];3:[1:5];5:[1:7];7:[1:4],1,1
11,11,18,11.18.a.b,0,0,0,5,1,2:[1:6];3:[1:5];5:[1:7];7:[1:7],1,1
11,11,18,11.18.a.b,-6,0,6,5,1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,18,11.18.a.b,-4,0,4,5,1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,18,11.18.a.b,-5,1,6,5,1,2:[1:9];3:[1:2];5:[1:9];7:[1:6],1,1
11,11,32,11.32.a.a,-2,1,3,-7,1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,32,11.32.a.a,-8,1,9,-7,1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,32,11.32.a.a,-12,1,13,-7,1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,32,11.32.a.a,-3,1,4,-7,1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.a,-7,1,8,-7,1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.a,-5,2,7,-7,1,2:[1:2];3:[1:1];5:[1:10];7:[1:2],1,1
11,11,32,11.32.a.a,-10,3,13,-7,1,2:[1:3];3:[1:7];5:[1:5];7:[1:8],1,1
11,11,32,11.32.a.a,-5,2,7,-7,1,2:[1:8];3:[1:7];5:[1:5];7:[1:3],1,1
11,11,32,11.32.a.a,-10,2,12,-7,1,2:[1:9];3:[1:1];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.a,0,2,2,-7,1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,32,11.32.a.a,-11,1,12,-7,1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,32,11.32.a.a,-9,1,10,-7,1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,20,11.20.a.a,-7,0,7,-7,1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,20,11.20.a.a,-3,0,3,-7,1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,20,11.20.a.a,-6,1,7,-7,1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,20,11.20.a.a,-4,1,5,-7,1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,20,11.20.a.a,-2,1,3,-7,1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,20,11.20.a.a,-5,1,6,-7,1,2:[1:7];3:[1:6];5:[1:1];7:[1:9],1,1
11,11,20,11.20.a.a,-5,1,6,-7,1,2:[1:10];3:[1:4];5:[1:2];7:[1:6],1,1
11,11,20,11.20.a.b,-7,0,7,-3,-1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,20,11.20.a.b,-3,0,3,-3,-1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,20,11.20.a.b,0,0,0,-3,-1,2:[1:1];3:[1:4];5:[1:2];7:[1:5],1,1
11,11,20,11.20.a.b,0,1,1,-3,-1,2:[1:4];3:[1:6];5:[1:1];7:[1:2],1,1
11,11,20,11.20.a.b,-6,1,7,-3,-1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,20,11.20.a.b,-4,1,5,-3,-1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,20,11.20.a.b,-2,1,3,-3,-1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,20,11.20.a.b,-5,1,6,-3,-1,2:[1:7];3:[1:6];5:[1:1];7:[1:9],1,1
11,11,20,11.20.a.b,-5,1,6,-3,-1,2:[1:10];3:[1:4];5:[1:2];7:[1:6],1,1
11,11,34,11.34.a.a,-2,1,3,8,-1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,34,11.34.a.a,-12,1,13,8,-1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,34,11.34.a.a,-8,1,9,8,-1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,34,11.34.a.a,-7,3,10,8,-1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.a,-3,3,6,8,-1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.a,-13,3,16,8,-1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.a,-6,-1,5,8,-1,2:[1:4];3:[1:3];5:[1:6];7:[1:3],1,1
11,11,34,11.34.a.a,-6,1,7,8,-1,2:[1:5];3:[1:10];5:[1:3];7:[1:10],1,1
11,11,34,11.34.a.a,-10,2,12,8,-1,2:[1:6];3:[1:10];5:[1:3];7:[1:1],1,1
11,11,34,11.34.a.a,-10,2,12,8,-1,2:[1:7];3:[1:3];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.a,-1,1,2,8,-1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,34,11.34.a.a,-9,1,10,8,-1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,34,11.34.a.a,-11,1,12,8,-1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,32,11.32.a.b,-2,1,3,-3,-1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,32,11.32.a.b,-8,1,9,-3,-1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,32,11.32.a.b,-12,1,13,-3,-1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,32,11.32.a.b,-3,1,4,-3,-1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.b,-7,1,8,-3,-1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.b,-5,2,7,-3,-1,2:[1:2];3:[1:1];5:[1:10];7:[1:2],1,1
11,11,32,11.32.a.b,-10,1,11,-3,-1,2:[1:3];3:[1:7];5:[1:5];7:[1:8],1,1
11,11,32,11.32.a.b,-1,0,1,-3,-1,2:[1:3];3:[1:7];5:[1:5];7:[1:8],1,1
11,11,32,11.32.a.b,-5,2,7,-3,-1,2:[1:8];3:[1:7];5:[1:5];7:[1:3],1,1
11,11,32,11.32.a.b,-1,-1,0,-3,-1,2:[1:9];3:[1:1];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.b,-10,0,10,-3,-1,2:[1:9];3:[1:1];5:[1:10];7:[1:9],1,1
11,11,32,11.32.a.b,-1,1,2,-3,-1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,32,11.32.a.b,-11,1,12,-3,-1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,32,11.32.a.b,-9,1,10,-3,-1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,22,11.22.a.a,-7,1,8,8,-1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,22,11.22.a.a,-3,1,4,8,-1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,22,11.22.a.a,-2,0,2,8,-1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,22,11.22.a.a,-8,0,8,8,-1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,22,11.22.a.a,-5,1,6,8,-1,2:[1:3];3:[1:7];5:[1:5];7:[1:8],1,1
11,11,22,11.22.a.a,-5,0,5,8,-1,2:[1:9];3:[1:1];5:[1:10];7:[1:9],1,1
11,11,22,11.22.a.a,-6,2,8,8,-1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,22,11.22.a.a,-4,2,6,8,-1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,22,11.22.a.b,-7,1,8,5,1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,22,11.22.a.b,-3,1,4,5,1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,22,11.22.a.b,-2,0,2,5,1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,22,11.22.a.b,-8,0,8,5,1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,22,11.22.a.b,1,1,0,5,1,2:[1:2];3:[1:1];5:[1:10];7:[1:2],1,1
11,11,22,11.22.a.b,-5,1,6,5,1,2:[1:3];3:[1:7];5:[1:5];7:[1:8],1,1
11,11,22,11.22.a.b,2,6,4,5,1,2:[1:8];3:[1:7];5:[1:5];7:[1:3],1,1
11,11,22,11.22.a.b,-5,0,5,5,1,2:[1:9];3:[1:1];5:[1:10];7:[1:9],1,1
11,11,22,11.22.a.b,-6,0,6,5,1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,22,11.22.a.b,-4,0,4,5,1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,34,11.34.a.b,-2,1,3,5,1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,34,11.34.a.b,-12,1,13,5,1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,34,11.34.a.b,-8,1,9,5,1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,34,11.34.a.b,-7,1,8,5,1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.b,-3,1,4,5,1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.b,-13,1,14,5,1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.b,-6,-1,5,5,1,2:[1:4];3:[1:3];5:[1:6];7:[1:3],1,1
11,11,34,11.34.a.b,-6,1,7,5,1,2:[1:5];3:[1:10];5:[1:3];7:[1:10],1,1
11,11,34,11.34.a.b,-1,1,2,5,1,2:[1:6];3:[1:10];5:[1:3];7:[1:1],1,1
11,11,34,11.34.a.b,-10,2,12,5,1,2:[1:6];3:[1:10];5:[1:3];7:[1:1],1,1
11,11,34,11.34.a.b,-10,0,10,5,1,2:[1:7];3:[1:3];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.b,-1,-1,0,5,1,2:[1:7];3:[1:3];5:[1:6];7:[1:8],1,1
11,11,34,11.34.a.b,-1,1,2,5,1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
