p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
5,6,105,105.6.a.b,8,-1,0,1,1,2:[1:4];11:[1:1];13:[1:3];17:[1:4];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:1];41:[1:3];43:[1:1];47:[1:0];53:[1:1];59:[1:3];61:[1:2],2,1
7,6,105,105.6.a.b,13,-1,0,1,1,2:[1:1:3];11:[1:4:6];13:[1:1:6];17:[1:6:4];19:[1:1:6];23:[1:3:5];29:[1:5:2];31:[1:5:2];37:[1:5:3];41:[1:2:5];43:[1:4:5];47:[1:1];53:[1:6:4];59:[1:6:6];61:[1:2];67:[1:3:5];71:[1:5:2];73:[1:2:2];79:[1:4:5];83:[1:3];89:[1:5];97:[1:2:2],1,2
3,6,105,105.6.a.a,37,1,-1,1,2,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,6,105,105.6.a.a,44,1,1/2,3/2,1,2:[1:4];11:[1:1];13:[1:3];17:[1:4];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:1];41:[1:3];43:[1:1];47:[1:0];53:[1:1];59:[1:3];61:[1:2],2,1
7,6,105,105.6.a.a,17,-1,-1,1,2,2:[1:1];11:[1:5];13:[1:3];17:[1:1];19:[1:3];23:[1:2];29:[1:1];31:[1:5];37:[1:0];41:[1:6];43:[1:6];47:[1:6];53:[1:6];59:[1:2];61:[1:0];67:[1:0];71:[1:1];73:[1:5];79:[1:4];83:[1:5];89:[1:6];97:[1:6],1,1
7,6,105,105.6.a.a,17,-1,-1,0,1,2:[1:5];11:[1:2];13:[1:1];17:[1:0];19:[1:2];23:[1:0];29:[1:1];31:[1:3];37:[1:5];41:[1:3];43:[1:6];47:[1:1];53:[1:1];59:[1:1];61:[1:0];67:[1:0];71:[1:6];73:[1:2];79:[1:4];83:[1:1];89:[1:2];97:[1:5],1,1
3,6,105,105.6.a.g,8,-1,9999,9999,4,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,6,105,105.6.a.g,8,-1,-1,0,1,2:[1:1];11:[1:0];13:[1:0];17:[1:2];19:[1:2];23:[1:2];29:[1:1];31:[1:2],1,1
3,6,105,105.6.a.g,8,-1,1,1,0,2:[1:0:1];11:[1:2:2];13:[1:0:1];17:[1:2];19:[1:2:2];23:[1:2];29:[1:2];31:[1:0:1],1,2
5,6,105,105.6.a.g,8,-1,0,1/2,1/2,2:[1:0];11:[1:3];13:[1:0];17:[1:3];19:[1:3];23:[1:4];29:[1:2];31:[1:4];37:[1:2];41:[1:2];43:[1:0];47:[1:4];53:[1:2];59:[1:0];61:[1:2],2,1
