p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
17,51,6,51.6.a.d,-1,1,2,1,1,2:[1:14:8];5:[1:4:10];7:[1:1:1];11:[1:6:12];13:[1:6:12];19:[1:14:10];23:[1:14:1];29:[1:16:7];31:[1:12:9];37:[1:9:4];41:[1:13:9];43:[1:3:12];47:[1:0:11];53:[1:3:4];59:[1:1:7];61:[1:2:11];67:[1:13:9];71:[1:2:8];73:[1:10:3];79:[1:0:7];83:[1:11:4];89:[1:13:7];97:[1:2:11];101:[1:13:14],1,2
3,51,8,51.8.a.a,100000,3,3,-95,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,8,51.8.a.a,100000,4,5,-95,1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
17,51,8,51.8.a.a,0,1,1,-4,1,2:[1:4];5:[1:7];7:[1:13];11:[1:11];13:[1:3];19:[1:6];23:[1:6];29:[1:16];31:[1:6];37:[1:13];41:[1:10];43:[1:5];47:[1:5];53:[1:1];59:[1:16];61:[1:9];67:[1:14];71:[1:11];73:[1:8];79:[1:1];83:[1:8];89:[1:14];97:[1:15];101:[1:3],1,1
17,51,8,51.8.a.a,-2,1,3,-4,1,2:[1:6];5:[1:13];7:[1:8];11:[1:15];13:[1:7];19:[1:7];23:[1:9];29:[1:11];31:[1:12];37:[1:9];41:[1:1];43:[1:6];47:[1:5];53:[1:14];59:[1:5];61:[1:7];67:[1:1];71:[1:13];73:[1:4];79:[1:8];83:[1:9];89:[1:5];97:[1:12];101:[1:1],1,1
3,51,8,51.8.a.b,-1,2,3,-7,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,8,51.8.a.b,-3,0,3,-7,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,8,51.8.a.b,-1,0,1,-7,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
17,51,8,51.8.a.b,0,1,1,-8,1,2:[1:13];5:[1:12];7:[1:1];11:[1:10];13:[1:8];19:[1:14];23:[1:2];29:[1:1];31:[1:16];37:[1:14];41:[1:5];43:[1:6];47:[1:1];53:[1:8];59:[1:14];61:[1:3];67:[1:12];71:[1:9];73:[1:2];79:[1:2];83:[1:0];89:[1:6];97:[1:10];101:[1:7],1,1
17,51,8,51.8.a.b,-1,1,2,-8,1,2:[1:11:15];5:[1:3:12];7:[1:7:15];11:[1:15:7];13:[1:10:5];19:[1:11:6];23:[1:16:2];29:[1:5:5];31:[1:15:13];37:[1:10:2];41:[1:6:16];43:[1:10:3];47:[1:0:6];53:[1:6:16];59:[1:8:6];61:[1:3:12];67:[1:4:9];71:[1:6:4];73:[1:16:7];79:[1:0:14];83:[1:12:16];89:[1:1:10];97:[1:7:3];101:[1:4:14],1,2
