p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
13,13,98,13.98.a.a,-37,1,38,5,-1,2:[1:9];3:[1:11];5:[1:4];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-4,3,7,12,1,2:[1:8];3:[1:7];5:[1:7];7:[1:10];11:[1:12],1,1
13,13,100,13.100.a.a,-12,5,17,-3,1,2:[1:7];3:[1:1];5:[1:9];7:[1:9];11:[1:11],1,1
13,13,92,13.92.a.b,-34,1,35,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,98,13.98.a.a,-24,1,25,5,-1,2:[1:9];3:[1:11];5:[1:4];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-29,3,32,12,1,2:[1:8];3:[1:7];5:[1:7];7:[1:10];11:[1:12],1,1
13,13,92,13.92.a.b,-14,1,15,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,90,13.90.a.b,-20,4,24,12,1,2:[1:8];3:[1:7];5:[1:7];7:[1:10];11:[1:12],1,1
13,13,104,13.104.a.a,-8,1,9,-3,1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,100,13.100.a.a,-24,5,29,-3,1,2:[1:7];3:[1:1];5:[1:9];7:[1:9];11:[1:11],1,1
13,13,98,13.98.a.a,-36,0,36,5,-1,2:[1:9];3:[1:11];5:[1:4];7:[1:0];11:[1:0],1,1
13,13,92,13.92.a.b,-26,1,27,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,90,13.90.a.b,-17,4,21,12,1,2:[1:8];3:[1:7];5:[1:7];7:[1:10];11:[1:12],1,1
13,13,98,13.98.a.a,-24,1,25,5,-1,2:[1:9];3:[1:11];5:[1:4];7:[1:0];11:[1:0],1,1
13,13,92,13.92.a.b,-19,2,21,-7,-1,2:[1:2];3:[1:9];5:[1:4];7:[1:12];11:[1:5],1,1
13,13,90,13.90.a.b,-8,3,11,12,1,2:[1:8];3:[1:7];5:[1:7];7:[1:10];11:[1:12],1,1
13,13,100,13.100.a.a,-18,1,19,-3,1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,1
